state,year,households,living_quarters,households_norm,living_quarters_norm
W.P. Kuala Lumpur,2017,530600,529700,0.4241225902125556,0.2205258693808312
W.P. Kuala Lumpur,2018,541800,536700,0.4794859120118636,0.2502120441051739
W.P. Kuala Lumpur,2019,552700,543500,0.5333662876915473,0.27905004240882103
W.P. Kuala Lumpur,2020,573529,634639,0.6363272367770638,0.6655597964376591
W.P. Kuala Lumpur,2021,591500,653900,0.7251606524962926,0.7472434266327396
W.P. Kuala Lumpur,2022,609800,673500,0.8156203657933762,0.8303647158608991
W.P. Kuala Lumpur,2023,628300,693400,0.9070687098368759,0.9147582697201018
W.P. Kuala Lumpur,2024,647100,713500,1.0,1.0
W.P. Labuan,2010,18800,20200,0.0,0.0
W.P. Labuan,2011,19600,20700,0.10126582278481013,0.12195121951219512
W.P. Labuan,2012,20300,21100,0.189873417721519,0.21951219512195122
W.P. Labuan,2013,21200,21500,0.3037974683544304,0.3170731707317073
W.P. Labuan,2014,22000,21900,0.4050632911392405,0.4146341463414634
W.P. Labuan,2015,22800,22200,0.5063291139240507,0.4878048780487805
W.P. Labuan,2016,23600,22600,0.6075949367088608,0.5853658536585366
W.P. Labuan,2017,24400,23000,0.7088607594936709,0.6829268292682927
W.P. Labuan,2018,25200,23400,0.810126582278481,0.7804878048780488
W.P. Labuan,2019,26000,23800,0.9113924050632911,0.8780487804878049
W.P. Labuan,2020,23961,22879,0.6532911392405063,0.6534146341463415
W.P. Labuan,2021,24600,23200,0.7341772151898734,0.7317073170731707
W.P. Labuan,2022,25300,23600,0.8227848101265823,0.8292682926829268
W.P. Labuan,2023,26000,23900,0.9113924050632911,0.9024390243902439
W.P. Labuan,2024,26700,24300,1.0,1.0
W.P. Putrajaya,2010,20700,24900,0.0,0.0
W.P. Putrajaya,2011,22200,26700,0.10638297872340426,0.09
W.P. Putrajaya,2012,23600,28300,0.20567375886524822,0.17
W.P. Putrajaya,2013,25000,29900,0.3049645390070922,0.25
W.P. Putrajaya,2014,26300,31600,0.3971631205673759,0.335
W.P. Putrajaya,2015,27500,33200,0.48226950354609927,0.415
W.P. Putrajaya,2016,28900,34700,0.5815602836879432,0.49
W.P. Putrajaya,2017,30300,36300,0.6808510638297872,0.57
W.P. Putrajaya,2018,32000,37800,0.8014184397163121,0.645
W.P. Putrajaya,2019,33700,39300,0.9219858156028369,0.72
W.P. Putrajaya,2020,29699,38056,0.63822695035461,0.6578
W.P. Putrajaya,2021,30900,39700,0.723404255319149,0.74
W.P. Putrajaya,2022,32200,41400,0.8156028368794326,0.825
W.P. Putrajaya,2023,33500,43200,0.9078014184397163,0.915
W.P. Putrajaya,2024,34800,44900,1.0,1.0
